word,success_rate,offered,correct,wrong,id,rank,pos,tf,idf,level1,level2,psuccess,lemma,lemmaTF,bucket
aback,22.22222222,9,2,7,13512,20268,NN,13,0.212765957,5,11,0,aback,12505,8
abandon,12.5,8,1,7,11353,3837,NN,1,0.021276596,10,5,9.090909091,abandon,83040,9
abandoned,40,15,6,9,13458,8493,VBN,17,0.212765957,5,1,54.54545455,abandon,157924,6
abandoned,40,15,6,9,17685,3837,VBN,17,0.212765957,10,1,54.54545455,abandon,157924,6
abandoning,14.28571429,7,1,6,17686,3837,VBG,1,0.021276596,10,6,9.090909091,abandon,31464,9
abate,50,2,1,1,11606,19578,NN,0,0,11,10,0,abate,4804,5
aberrant,0,3,0,3,15782,54628,NN,0,0,11,3,0,aberrant,6216,10
abet,50,4,2,2,11899,22237,NN,0,0,11,8,0,abet,1569,5
abilities,33.33333333,3,1,2,16289,570,NNS,2,0.021276596,10,5,9.090909091,ability,383078,7
ability,71.42857143,7,5,2,11840,570,NN,2,0.042553191,10,4,9.090909091,ability,2326706,3
able,40.90909091,22,9,13,9605,230,JJ,41,0.574468085,2,2,81.81818182,able,5772941,6
abnormal,100,2,2,0,11607,6740,JJ,0,0,11,3,0,abnormal,112206,0
aboard,37.5,8,3,5,13329,7361,NN,18,0.234042553,4,6,63.63636364,aboard,95217,7
abode,42.85714286,7,3,4,11608,14755,,0,0,11,10,0,abode,22702,6
abolish,25,4,1,3,11159,9445,,0,0,11,9,0,abolish,20533,8
abolished,50,4,2,2,18297,9445,V,0,0,11,7,0,abolish,30514,5
abort,60,5,3,2,15721,13810,NN,9,0.042553191,9,8,18.18181818,abort,15383,4
about,30.43478261,23,7,16,10474,242,IN,1051,0.957446809,1,4,90.90909091,about,24267521,7
above,28,25,7,18,10703,2199,IN,210,0.659574468,1,2,90.90909091,above,1712769,8
abrupt,37.5,8,3,5,11609,13219,NN,2,0.042553191,10,9,9.090909091,abrupt,31466,7
abruptly,0,2,0,2,13422,11936,RB,21,0.212765957,4,7,63.63636364,abruptly,38896,10
absolute,71.42857143,7,5,2,15059,2836,NN,6,0.106382979,8,2,27.27272727,absolute,439475,3
absolutely,56.25,16,9,7,12375,1436,RB,48,0.638297872,2,3,81.81818182,absolutely,1027635,5
absorb,33.33333333,3,1,2,10931,3213,,0,0,11,10,0,absorb,163535,7
absorbed,14.28571429,7,1,6,17478,3213,V,0,0,11,7,0,absorb,123704,9
absorbs,33.33333333,6,2,4,17479,3213,V,0,0,11,8,0,absorb,45021,7
absurd,70,10,7,3,11160,8142,NN,2,0.042553191,10,4,9.090909091,absurd,79700,3
abundant,75,4,3,1,11354,6701,NN,1,0.021276596,10,2,9.090909091,abundant,113356,3
accelerate,18.18181818,11,2,9,11610,4753,NNS,0,0,10,10,9.090909091,accelerate,119494,9
accelerated,50,8,4,4,17926,4753,V,0,0,10,10,9.090909091,accelerate,30857,5
accelerating,0,8,0,8,17925,4753,V,0,0,10,7,9.090909091,accelerate,31172,10
accent,50,6,3,3,13862,4852,NN,13,0.170212766,5,2,54.54545455,accent,119100,5
accents,55.55555556,9,5,4,17942,4852,NNS,1,0.021276596,5,11,0,accent,77048,5
accept,0,3,0,3,11605,864,NN,14,0.191489362,5,2,54.54545455,accept,902211,10
accepted,23.07692308,13,3,10,14562,6878,JJ,8,0.127659574,7,2,36.36363636,accept,583552,8
accepted,23.07692308,13,3,10,16443,864,JJ,8,0.127659574,5,2,36.36363636,accept,583552,8
accepting,62.5,8,5,3,16444,864,VBG,1,0.021276596,5,4,54.54545455,accept,203730,4
accepts,0,9,0,9,16445,864,NNS,4,0.085106383,5,7,54.54545455,accept,128524,10
access,50,8,4,4,11161,504,NN,7,0.085106383,8,5,27.27272727,access,2979295,5
accessed,0,4,0,4,16641,504,V,0,0,8,9,27.27272727,access,185972,10
accessing,0,1,0,1,16642,504,V,0,0,8,11,0,access,137862,10
accident,80,10,8,2,11821,2178,NN,28,0.340425532,3,1,72.72727273,accident,454351,2
accidentally,0,5,0,5,12983,5577,RB,33,0.29787234,3,11,0,accidentally,155908,10
accidents,33.33333333,3,1,2,15439,2178,NNS,7,0.085106383,8,6,27.27272727,accident,163253,7
acclaim,50,2,1,1,11611,12216,,0,0,11,9,0,acclaim,36967,5
accommodate,30,10,3,7,11355,3185,,0,0,11,7,0,accommodate,281184,7
accommodating,20,5,1,4,17474,3185,V,0,0,11,8,0,accommodate,34694,8
accomplish,0,8,0,8,11162,2610,NN,1,0.021276596,10,10,9.090909091,accomplish,254559,10
accomplished,42.85714286,7,3,4,17278,2610,VBN,4,0.085106383,10,9,9.090909091,accomplish,192024,6
accomplishing,33.33333333,6,2,4,17279,2610,V,0,0,10,7,9.090909091,accomplish,30267,7
accord,33.33333333,6,2,4,11900,11664,,0,0,11,8,0,accord,55319,7
according,42.85714286,7,3,4,11557,514,VBG,6,0.106382979,8,5,27.27272727,according,2936638,6
account,66.66666667,6,4,2,9936,401,NN,8,0.127659574,7,9,36.36363636,account,2722105,4
accounted,20,10,2,8,16923,401,VBD,1,0.021276596,7,9,36.36363636,account,94287,8
accounting,28.57142857,7,2,5,16921,401,NN,2,0.021276596,7,9,36.36363636,account,166437,8
accounts,38.46153846,13,5,8,16922,401,V,0,0,7,6,36.36363636,account,857714,7
accounts,38.46153846,13,5,8,16225,401,N,0,0,7,6,36.36363636,account,857714,7
accumulate,42.85714286,7,3,4,11356,5303,,0,0,11,6,0,accumulate,68980,6
accumulated,0,1,0,1,18018,5303,V,0,0,11,3,0,accumulate,57160,10
accurate,30,10,3,7,11040,1888,NN,1,0.021276596,10,8,9.090909091,accurate,731698,7
accuse,60,5,3,2,10932,3302,NNS,0,0,9,5,18.18181818,accuse,33318,4
accused,30,10,3,7,17520,3302,VBN,1,0.021276596,9,5,18.18181818,accuse,259605,7
accusing,33.33333333,3,1,2,17521,3302,VBG,3,0.042553191,9,11,0,accuse,36069,7
achieve,50,6,3,3,10275,885,NN,1,0.021276596,10,8,9.090909091,achieve,1031837,5
achieved,16.66666667,6,1,5,16458,885,V,0,0,10,10,9.090909091,achieve,467374,9
achievement,0,2,0,2,11163,2600,NN,1,0.021276596,10,6,9.090909091,achievement,321300,10
achievements,16.66666667,6,1,5,17275,2600,NNS,1,0.021276596,10,6,9.090909091,achievement,173460,9
achieves,40,5,2,3,16460,885,V,0,0,10,4,9.090909091,achieve,42162,6
achieving,0,5,0,5,16459,885,V,0,0,10,9,9.090909091,achieve,240760,10
acid,42.85714286,7,3,4,14801,1801,NN,12,0.106382979,7,4,36.36363636,acid,568018,6
acids,66.66666667,6,4,2,16942,1801,N,0,0,7,3,36.36363636,acid,208389,4
acknowledge,6.666666667,15,1,14,11612,2722,NN,2,0.042553191,10,9,9.090909091,acknowledge,212332,10
acknowledged,0,2,0,2,17318,2722,VBD,11,0.021276596,10,11,0,acknowledge,136677,10
acknowledges,11.11111111,9,1,8,17319,2722,NNS,1,0.021276596,10,8,9.090909091,acknowledge,64230,9
acknowledging,20,5,1,4,17320,2722,V,0,0,10,9,9.090909091,acknowledge,53689,8
acoustic,71.42857143,7,5,2,15798,NULL,JJ,1,0.021276596,10,11,0,acoustic,115424,3
acoustics,25,4,1,3,10276,10492,JJ,0,0,10,8,9.090909091,acoustic,26065,8
acquire,36.36363636,11,4,7,11613,2008,VB,1,0.021276596,10,9,9.090909091,acquire,234525,7
acquired,33.33333333,3,1,2,17026,2008,VBN,1,0.021276596,10,10,9.090909091,acquire,316238,7
acquiring,33.33333333,6,2,4,17027,2008,V,0,0,10,10,9.090909091,acquire,101352,7
acrid,0,6,0,6,11615,32593,,0,0,11,10,0,acrid,3688,10
across,0,15,0,15,12293,425,IN,300,0.744680851,1,5,90.90909091,across,3400763,10
act,62.96296296,27,17,10,9991,993,NN,55,0.531914894,2,1,81.81818182,act,1631435,4
acted,66.66666667,3,2,1,16521,993,V,0,0,4,7,63.63636364,act,144400,4
acting,33.33333333,6,2,4,16520,993,VBG,25,0.468085106,4,3,72.72727273,act,409865,7
acting,33.33333333,6,2,4,12581,11930,VBG,25,0.468085106,3,3,72.72727273,act,409865,7
action,70.83333333,24,17,7,9723,430,NN,45,0.425531915,2,1,81.81818182,action,2492119,3
actions,62.5,24,15,9,16233,430,NNS,5,0.085106383,2,1,81.81818182,action,881789,4
activate,25,4,1,3,15737,2902,NN,8,0.042553191,9,4,18.18181818,activate,194893,8
activated,80,5,4,1,15770,2902,VBN,7,0.042553191,9,4,18.18181818,activate,151591,2
activates,11.11111111,9,1,8,15527,2902,NNS,12,0.063829787,8,9,27.27272727,activate,37745,9
activating,42.85714286,7,3,4,17387,2902,VBG,6,0.042553191,8,2,27.27272727,activate,37803,6
active,58.33333333,12,7,5,10933,1017,JJ,6,0.085106383,9,2,18.18181818,active,1533323,5
activities,100,1,1,0,11802,406,NNS,2,0.042553191,10,3,9.090909091,activity,1981104,0
activity,83.33333333,6,5,1,10277,406,NN,11,0.127659574,6,2,45.45454545,activity,1554193,2
actor,100,3,3,0,10186,2217,NN,1,0.021276596,10,11,0,actor,337350,0
actors,50,6,3,3,17112,2217,NNS,1,0.021276596,10,3,9.090909091,actor,265736,5
actress,44.44444444,9,4,5,15515,4593,NN,15,0.063829787,7,2,36.36363636,actress,188700,6
acts,33.33333333,6,2,4,14555,993,NNS,8,0.127659574,7,2,36.36363636,act,399562,7
actual,25,8,2,6,10934,1259,JJ,9,0.170212766,6,6,45.45454545,actual,1212717,8
actually,39.39393939,33,13,20,9907,321,RB,149,0.787234043,1,3,90.90909091,actually,4265943,7
ad,50,6,3,3,16104,NULL,NN,13,0.106382979,9,11,0,ad,504489,5
adapt,62.5,8,5,3,11357,2728,,0,0,11,3,0,adapt,223538,4
adapted,25,4,1,3,17321,2728,VBN,1,0.021276596,11,11,0,adapt,162552,8
adapting,0,7,0,7,17322,2728,V,0,0,11,8,0,adapt,56103,10
add,42.85714286,7,3,4,9600,149,VB,11,0.234042553,5,4,54.54545455,add,4183681,6
added,33.33333333,9,3,6,15206,149,VBD,5,0.106382979,9,11,0,add,2192972,7
adding,16.66666667,6,1,5,16128,149,VBG,2,0.042553191,6,9,45.45454545,add,1287710,9
addition,44.44444444,9,4,5,11309,1980,NN,1,0.021276596,10,5,9.090909091,addition,1044160,6
additions,20,5,1,4,17005,1980,N,0,0,10,10,9.090909091,addition,133440,8
address,60,5,3,2,9881,1129,NN,10,0.127659574,7,5,36.36363636,address,1587272,4
addressed,0,9,0,9,16600,1129,V,0,0,6,4,45.45454545,address,307987,10
addresses,50,2,1,1,13856,1129,NNS,13,0.170212766,5,1,54.54545455,address,217912,5
addressing,50,6,3,3,16601,1129,VBG,2,0.042553191,6,5,45.45454545,address,212409,5
adds,0,4,0,4,14142,149,VBZ,11,0.14893617,6,7,45.45454545,add,618358,10
adept,25,4,1,3,11901,12164,,0,0,11,10,0,adept,37299,8
adhere,50,4,2,2,11358,5242,RB,1,0.021276596,10,10,9.090909091,adhere,100498,5
adjacent,66.66666667,3,2,1,11616,7573,NN,3,0.042553191,10,10,9.090909091,adjacent,111674,4
adjust,62.5,8,5,3,14008,1599,NN,9,0.170212766,6,2,45.45454545,adjust,505057,4
adjusted,46.15384615,13,6,7,16846,1599,V,0,0,5,8,54.54545455,adjust,220965,6
adjusting,0,4,0,4,16847,1599,VBG,1,0.021276596,5,3,54.54545455,adjust,137469,10
adjusts,14.28571429,7,1,6,13611,1599,NNS,19,0.191489362,5,7,54.54545455,adjust,43515,9
admiration,66.66666667,3,2,1,15056,11061,NN,6,0.106382979,8,2,27.27272727,admiration,44894,4
admire,44.44444444,9,4,5,14691,5198,NN,6,0.127659574,8,4,27.27272727,admire,102475,6
admired,0,6,0,6,18000,5198,VBN,2,0.042553191,8,4,27.27272727,admire,51469,10
admit,20,5,1,4,13035,1669,NN,18,0.29787234,4,3,63.63636364,admit,363936,8
admits,33.33333333,3,1,2,16890,1669,NNS,2,0.042553191,4,2,63.63636364,admit,108090,7
admitted,50,2,1,1,16889,1669,V,0,0,4,2,63.63636364,admit,336270,5
admitting,75,4,3,1,16891,1669,V,0,0,4,1,63.63636364,admit,44461,3
admonish,0,4,0,4,11617,19378,,0,0,11,4,0,admonish,3597,10
adopt,33.33333333,3,1,2,10935,2041,NN,7,0.042553191,9,2,18.18181818,adopt,210342,7
adopted,26.66666667,15,4,11,17037,2041,VBN,6,0.063829787,9,9,18.18181818,adopt,341062,8
adopting,33.33333333,6,2,4,17038,2041,V,0,0,9,8,18.18181818,adopt,93479,7
adorable,16.66666667,6,1,5,14028,6145,JJ,8,0.170212766,6,11,0,adorable,132138,9
ads,16.66666667,6,1,5,15756,1550,NNS,7,0.042553191,9,4,18.18181818,ad,434457,9
advance,50,10,5,5,15902,NULL,NN,6,0.085106383,5,11,0,advance,567767,5
advanced,25,4,1,3,17228,2465,JJ,1,0.021276596,5,6,54.54545455,advanced,1050969,8
advances,42.85714286,7,3,4,13829,2465,NNS,16,0.170212766,5,3,54.54545455,advance,136755,6
advancing,30.76923077,13,4,9,14091,9301,VBG,13,0.14893617,6,4,45.45454545,advance,46929,7
advancing,30.76923077,13,4,9,17229,2465,VBG,13,0.14893617,5,4,45.45454545,advance,46929,7
advantage,42.85714286,7,3,4,10936,1036,NN,8,0.14893617,7,6,36.36363636,advantage,1169430,6
advantages,50,2,1,1,16544,1036,N,0,0,7,9,36.36363636,advantage,333709,5
adventure,50,6,3,3,13056,1703,NN,39,0.276595745,3,2,72.72727273,adventure,586750,5
adventures,87.5,8,7,1,15394,1703,NNS,8,0.085106383,8,2,27.27272727,adventure,244671,2
advice,33.33333333,3,1,2,10203,1061,NN,9,0.170212766,6,9,45.45454545,advice,1462775,7
advise,0,5,0,5,15228,1886,NN,5,0.106382979,9,10,18.18181818,advise,291649,10
advised,33.33333333,6,2,4,16975,1886,V,0,0,9,10,18.18181818,advise,270199,7
advises,12.5,8,1,7,16977,1886,NNS,1,0.021276596,9,10,18.18181818,advise,67445,9
advising,0,11,0,11,16976,1886,V,0,0,9,10,18.18181818,advise,104533,10
advocate,16.66666667,6,1,5,11902,5328,NN,1,0.021276596,10,10,9.090909091,advocate,130853,9
advocated,0,13,0,13,18024,5328,V,0,0,10,9,9.090909091,advocate,36206,10
advocates,40,5,2,3,17679,5328,N,0,0,10,10,9.090909091,advocate,151446,6
advocating,25,4,1,3,18023,5328,V,0,0,10,10,9.090909091,advocate,50699,8
afar,33.33333333,6,2,4,15225,14461,NN,5,0.106382979,9,9,18.18181818,afar,26187,7
affect,0,7,0,7,11824,8589,NN,1,0.021276596,10,10,9.090909091,affect,791892,10
affected,16.66666667,6,1,5,16431,8589,JJ,2,0.042553191,10,4,9.090909091,affect,547866,9
affecting,0,5,0,5,16433,8589,V,0,0,10,9,9.090909091,affect,208398,10
affects,20,5,1,4,16432,8589,V,0,0,10,11,0,affect,290061,8
affirmative,100,6,6,0,15239,12521,JJ,5,0.106382979,9,3,18.18181818,affirmative,35140,0
affliction,0,7,0,7,11618,13741,,0,0,11,10,0,affliction,19941,10
afford,25,8,2,6,11041,2428,NN,9,0.14893617,6,5,45.45454545,afford,443300,8
afforded,7.692307692,13,1,12,17203,2428,V,0,0,6,9,45.45454545,afford,52883,10
affords,0,6,0,6,17204,2428,V,0,0,6,7,45.45454545,afford,30876,10
afraid,19.04761905,21,4,17,9690,2694,NN,86,0.638297872,2,4,81.81818182,afraid,474080,9
after,72.72727273,22,16,6,9494,301,IN,407,0.893617021,1,6,90.90909091,after,11261296,3
aftermath,50,6,3,3,10278,8024,,0,0,11,9,0,aftermath,81656,5
